Player,Tm,Pos,FG%,FT%,3P%,PTS
John Richter,BOS,C,0.34,0.504,0,285
Joe Ruklick,PHW,PF,0.360667,0.599667,0,132
Bobby Smith,MNL,G,0.1205,0.344,0,18
Wayne Stevens,CIN,F,0.158,0.7,0,13
Tony Windis,DET,PG,0.267,0.667,0,36
Al Attles,PHW,PG,0.442273,0.628091,0,575
Bob Boozer,CIN,PF,0.453615,0.75,0,1090
Dave Budd,NYK,SF,0.4548,0.6872,0,501
Ralph Davis,CIN,SG,0.407,0.6715,0,597
Swede Halbrook,SYR,C,0.3475,0.5895,0,393
Darrall Imhoff,NYK,C,0.428,0.559143,0,420
Ron Johnson,TOT,F,0.274333,0.652333,0,24
Howie Jolliff,LAL,PF,0.336667,0.557,0,129
Willie Jones,DET,PG,0.3892,0.6062,0,403
Pickles Kennedy,PHW,G,0.19,0.667,0,12
Fred LaCour,STL,SF,0.41,0.709333,0,313
George Lee,DET,SF,0.406286,0.744,0,318
Bob McNeill,NYK,PG,0.40375,0.77075,0,178
Jackie Moreland,DET,PF,0.4062,0.6986,0,536
Don Ohl,DET,SG,0.43725,0.744167,0,1044
Joe Roberts,SYR,SF,0.378333,0.649,0,372
Oscar Robertson*,CIN,PG,0.482643,0.837857,0,1907
Tom Sanders*,BOS,SF,0.415615,0.768385,0,674
Jerry West*,LAL,PG,0.473,0.810286,0,1799
Lenny Wilkens*,STL,PG,0.429,0.769267,0,1184
Stacey Arceneaux,STL,F,0.393,0.462,0,50
Walt Bellamy*,CHP,C,0.53595,0.64045,0,1260
George Blaney,NYK,PG,0.38,0.529,0,117
George Bon,CHP,PF,0.25,0,0,4
Joe Buckhalter,CIN,PF,0.229,0.81,0,187
Cleveland Buckner,NYK,PF,0.4655,0.562,0,205
Ed Burton,NYK,F,0.425,0.4105,0,16
Donnie Butcher,NYK,PG,0.390143,0.614857,0,322
Al Butler,TOT,PG,0.427333,0.748,0,518
Howie Carl,CHP,PG,0.333,0.706,0,170
Jimmy Darrow,STL,G,0.2,0.857,0,12
Johnny Egan,DET,PG,0.412235,0.796353,0,426
Rich Eichhorst,STL,G,0.5,0,0,2
Cleo Hill,STL,SG,0.346,0.774,0,320
Ron Horn,STL,SF,0.206,0.595,0,38
Doug Kistler,NYK,F,0.5,0.5,0,8
York Larese,TOT,SG,0.405,0.734333,0,201
Ted Luckenbill,PHW,PF,0.37,0.5475,0,98
Whitey Martin,NYK,SG,0.325,0.673,0,227
Tom Meschery,PHW,PF,0.4411,0.747,0,990
Paul Neumann,SYR,PG,0.450125,0.789,0,744
Bevo Nordmann,CIN,C,0.4645,0.40425,0,125
Chuck Osborne,SYR,PF,0.125,0.75,0,5
Gary Phillips,BOS,PG,0.3662,0.6226,0,463
Frank Radovich,PHW,F,0.398,0.5,0,87
Ray Scott,DET,PF,0.405909,0.719636,0,1032
Lee Shaffer,SYR,SF,0.411667,0.774,0,1097
Bob Sims,TOT,SG,0.387333,0.548,0,339
Adrian Smith,CIN,SG,0.416333,0.842583,0,745
Bill Smith,NYK,G-F,0.242,0.875,0,23
Sam Stith,NYK,SG,0.364,0.605,0,141
Horace Walker,CHP,SF,0.339,0.725,0,438
Bob Wiesenhahn,CIN,SF,0.317,0.567,0,119
Wayne Yates,LAL,C,0.295,0.455,0,72
Dave Zeller,CIN,PG,0.353,0.75,0,90
John Barnhill,STL,SG,0.412778,0.633889,0,471
Zelmo Beaty*,STL,C,0.4635,0.75175,0,1138
Bill Bridges,STL,PF,0.429684,0.649474,0,680
Len Chappell,SYR,PF,0.421941,0.693706,0,478
Johnny Cox,CHZ,SG,0.421,0.704,0,573
Dave DeBusschere*,DET,SF,0.431357,0.696,0,1092
Terry Dischinger,CHZ,SF,0.506778,0.747222,0,1001
Danny Doyle,DET,PF,0.5,0.8,0,16
Bob Duffy,STL,PG,0.362333,0.587833,0,105
Leroy Ellis,LAL,C,0.433875,0.730063,0,696
Dave Fedor,SFW,F,0.3,0,0,6
Jack Foley,TOT,F,0.390667,0.872333,0,35
Dave Gunther,SFW,F,0.5,0,0,2
Charlie Hardnett,CHZ,PF,0.388667,0.635667,0,399
John Havlicek*,BOS,SF,0.439,0.812125,0,1649
Wayne Hightower,SFW,PF,0.348778,0.742556,0,442
Paul Hogue,NYK,C,0.385,0.36,0,108
Kevin Loughery,DET,SG,0.3848,0.726733,0,874
Bill McGill,CHZ,C,0.418429,0.778286,0,397
Porter Meriwether,SYR,PG,0.393,0.697,0,119
Howie Montgomery,SFW,SF,0.425,0.609,0,144
Don Nelson*,CHZ,SF,0.47,0.766143,0,778
Mel Nowell,CHZ,SG,0.388,0.727,0,232
Bud Olsen,CIN,PF,0.396455,0.403636,0,166
John Rudometkin,NYK,SF,0.3746,0.5756,0,192
Jeff Slade,CHZ,F,0.4,0,0,4
Tom Stith,NYK,SF,0.336,0.3,0,77
Dan Swartz,BOS,SF,0.38,0.847,0,175
Dan Tieman,CIN,PG,0.263,0.4,0,34
Gene Tormohlen,STL,C,0.436833,0.420167,0,198
Chico Vaughn,STL,SG,0.401143,0.725857,0,484
Chet Walker*,SYR,SF,0.468692,0.791308,0,1448
Ben Warley,SYR,PF,0.401143,0.606857,0,294
Ralph Wells,CHZ,G,0.143,0,0,2
Hubie White,SFW,SG,0.3275,0.637,0,85
Gene Wiley,LAL,C,0.472,0.50225,0,318
Jay Arnette,CIN,PG,0.3,0.508333,0,141
Larry Comley,BAL,G,0.216,0.563,0,25
Mel Gibson,LAL,G,0.3,0.5,0,13
Jerry Greenspan,PHI,SG,0.4855,0.84,0,61
Reggie Harding,DET,C,0.39925,0.59025,0,459
Jerry Harkness,NYK,PG,0.433,0.375,0,29
Art Heyman,NYK,SG,0.3772,0.6752,0,313
Gary Hill,SFW,SG,0.236,0.4155,0,99
Tom Hoover,NYK,C,0.412667,0.523333,0,116
Gus Johnson*,BAL,PF,0.4305,0.7001,0,994
Jim King,LAL,PG,0.41775,0.785,0,376
Don Kojis,BAL,SF,0.446833,0.695583,0,829
Jerry Lucas*,CIN,PF,0.501538,0.774154,0,1158
Eddie Miles,DET,SG,0.450273,0.747091,0,793
Mel Peterson,BAL,G-F,1,0,0,2
Ken Rohloff,STL,G,0,0,0,0
Larry Siegfried,BOS,SG,0.388091,0.848364,0,552
Roger Strickland,BAL,F,0.333,0,0,2
Tom Thacker,CIN,PG,0.36275,0.47175,0,180
Rod Thorn,BAL,SG,0.4367,0.7086,0,579
Nate Thurmond*,SFW,PF,0.419563,0.628313,0,923
Gerry Ward,STL,SG,0.287,0.73175,0,135
John Windsor,SFW,PF,0.37,0.875,0,27
Jim Barnes,NYK,PF,0.439462,0.676462,0,445
Ron Bonham,BOS,SF,0.3905,0.8365,0,239
Gary Bradds,BAL,SF,0.3735,0.732,0,72
Em Bryant,NYK,PG,0.410875,0.68275,0,465
Joe Caldwell,DET,SF,0.448125,0.645125,0,1016
Mel Counts,BOS,C,0.418187,0.700563,0,452
Steve Courtin,PHI,SG,0.408,0.81,0,101
Jerry Grote,LAL,G,0.545,1,0,14
Happy Hairston,CIN,PF,0.481333,0.738067,0,941
Walt Hazzard,LAL,SG,0.429583,0.738333,0,779
Les Hunter,BAL,PF,0.281,0.429,0,42
Luke Jackson,PHI,PF,0.386,0.656786,0.1585,390
Larry Jones,PHI,SG,0.365,0.775,0,427
Wali Jones,BAL,SG,0.415167,0.718667,0,516
Howard Komives,NYK,PG,0.386583,0.829417,0,709
Bud Koper,SFW,SG,0.44,0.833,0,247
Barry Kramer,TOT,SF,0.337667,0.715333,0,124
McCoy McLemore,SFW,SF,0.391571,0.791714,0,482
Jeff Mullins,STL,SG,0.455583,0.801333,0,1084
Cotton Nash,TOT,SF,0.315,0.836,0,91
Willis Reed*,NYK,C,0.4704,0.7469,0,1218
Paul Silas,STL,PF,0.422313,0.65,0,736
John Thompson*,BOS,PF,0.4345,0.6285,0,131
John Tresvant,STL,PF,0.455053,0.697421,0,467
George Wilson,CIN,C,0.359455,0.661636,0,285
Rick Barry*,SFW,SF,0.4471,0.9096,0.033,1839
Jesse Branson,PHI,SF,0.167,0.75,0,5
Bill Buntin,DET,C,0.395,0.615,0,324
Barry Clemens,NYK,SF,0.459,0.768818,0,482
Billy Cunningham*,PHI,SF,0.442111,0.722778,0,1514
Keith Erickson,SFW,SF,0.436667,0.769833,0,604
John Fairchild,LAL,SF,0.258,0.7,0,60
Will Frazier,SFW,PF,0,0.5,0,1
Gail Goodrich*,LAL,SG,0.454786,0.801929,0,1370
Fred Hetzel,SFW,SF,0.43375,0.806875,0,733
Jon McGlocklin,CIN,SG,0.476273,0.847727,0,833
Thales McReynolds,BAL,G,0.083,0.5,0,3
Ron Reed,DET,PF,0.3635,0.567,0,475
Jerry Sloan*,BAL,SG,0.422909,0.717455,0,961
Willie Somerset,BAL,PG,0.419,0.818,0,45
Dave Stallworth,NYK,SF,0.412,0.6922,0,568
Joe Strawder,DET,C,0.428667,0.684333,0,659
Dick Van,NYK,SG,0.463667,0.793333,0,1256
Tom Van,DET,SG,0.422,0.760833,0,971
Bob Warlick,DET,SG,0.327333,0.577333,0,282
Jim Washington,STL,PF,0.418,0.650933,0,643
Ron Watts,BOS,F,0.375,0.348,0,20
Bob Weiss,PHI,G,0.419214,0.724786,0,463
Henry Akin,NYK,PF,0.3485,0.674,0,152
Johnny Austin,BAL,SG,0.227,0.813,0,23
Jim Barnett,BOS,SG,0.429769,0.777385,0,715
Dave Bing*,DET,PG,0.44125,0.778583,0,1527
John Block,LAL,PF,0.431071,0.732929,0,615
Nate Bowman,CHI,C,0.3882,0.5874,0,140
Jerry Chambers,LAL,SF,0.4415,0.7345,0,482
Archie Clark,LAL,SG,0.494083,0.76575,0,1146
Freddie Crawford,NYK,SG,0.418778,0.585111,0,317
Dave Deutsch,NYK,G,0.167,0.45,0,21
Joe Ellis,SFW,SF,0.389875,0.707375,0,577
Hank Finkel,LAL,C,0.434333,0.636889,0,310
Matt Guokas,PHI,SG,0.446765,0.658118,0,317
Bob Hogsett,DET,PF,0.313,1,0,16
Lou Hudson,STL,SF,0.483154,0.802154,0,1380
Neil Johnson,NYK,PF,0.3935,0.6075,0,199
Toby Kimball,BOS,PF,0.411,0.614222,0,385
Tommy Kron,STL,SG,0.366,0.725,0,397
Clyde Lee,SFW,C,0.425583,0.630333,0,517
Bob Love,CIN,PF,0.412938,0.786062,0,913
Jack Marin,BAL,SF,0.465133,0.840533,0,950
Bill Melchionni,PHI,PG,0.413,0.676,0,320
Wayne Molis,NYK,C,0.373,0.538,0,45
Erwin Mueller,CHI,C,0.409615,0.599077,0,382
Dorie Murrey,DET,PF,0.388125,0.676,0,239
Flynn Robinson,CIN,PG,0.444231,0.799462,0,791
Cazzie Russell,NYK,SF,0.459667,0.831083,0,1031
Dave Schellhase,CHI,PG,0.3505,0.581,0,104
Dick Snyder,STL,SG,0.480867,0.826333,0,855
Jim Ware,CIN,PF,0.2835,0.632,0,71
Walt Wesley,CIN,C,0.435857,0.582929,0,377
Bud Acton,SDR,SF,0.392,0.655,0,77
Cliff Anderson,LAL,SG,0.289,0.6172,0,66
Bill Bradley*,NYK,SF,0.4466,0.8347,0,921
Tyrone Britt,SDR,SG,0.382,0.667,0,28
Jim Burns,CHI,SG,0.286,0,0,4
Jim Caldwell,NYK,C,0,0,0,0
George Carter,DET,SF,0.5,1,0,3
Jim Davis,STL,C,0.428909,0.639727,0,399
Bill Dinwiddie,CIN,SF,0.3505,0.60275,0,243
Sonny Dove,DET,PF,0.3815,0.5645,0,87
Ron Filipek,PHI,F,0.383,0.5,0,43
Jim Fox,TOT,C,0.458875,0.7335,0,556
Walt Frazier*,NYK,PG,0.475154,0.803154,0,1198
Mal Graham,BOS,PG,0.333,0.711,0,163
Gary Gray,CIN,SG,0.366,0.7,0,105
Dennis Hamilton,LAL,PF,0.526,0.7,0,98
Clem Haskins,CHI,PG,0.453889,0.800667,0,971
Al Jackson,CIN,G,0,0,0,0
Phil Jackson*,NYK,PF,0.466167,0.731167,0,452
Johnny Jones,BOS,SF,0.34,0.618,0,214
Nick Jones,SDR,PG,0.406333,0.789333,0,334
Dave Lattin,SFW,PF,0.3865,0.6655,0,253
George Lehmann,STL,PG,0.3655,0.7405,0,106
Bobby Lewis,SFW,SG,0.38325,0.7205,0,370
Paul Long,DET,SG,0.459333,0.759,0,91
Plummer Lott,SEA,SF,0.2845,0.5065,0,73
Ed Manning,BAL,PF,0.418667,0.701,0,283
Stan McKenzie,BAL,SG,0.403556,0.786889,0,411
Jay Miller,STL,SF,0.229,0.6425,0,14
Earl Monroe*,BAL,SG,0.4592,0.807533,0,1213
George Patterson,DET,C,0.331,0.842,0,120
Jim Reid,PHI,F,0.5,0.2,0,21
Pat Riley*,SDR,SG,0.409273,0.681455,0,381
Bob Rule,SEA,C,0.358583,0.568417,0,691
Craig Spitzer,CHI,C,0.381,0.667,0,18
Al Tucker,SEA,PF,0.47275,0.73525,0,459
Bill Turner,SFW,SF,0.3912,0.5897,0,215
Jimmy Walker,DET,SG,0.470364,0.752,0,1190
Rick Weitzman,BOS,SG,0.261,0.692,0,33
Roland West,BAL,G,0.4,0,0,4
John Wetzel,LAL,SF,0.431714,0.806,0,173
Ken Wilburn,CHI,SF,0.4655,0.25,0,9
Art Williams,SDR,PG,0.420714,0.746714,0,410
Tom Workman,TOT,F-C,0.2764,0.6312,0,33
Zaid Abdul-Aziz,TOT,C,0.3995,0.674714,0,355
Rick Adelman,SDR,PG,0.4147,0.7213,0,389
Bob Allen,SFW,PF,0.326,0.556,0,48
Harry Barnes,SDR,SF,0.281,0.538,0,43
Ed Biedenbach,PHO,G,0,0.667,0,4
Tom Boerwinkle,CHI,C,0.4555,0.6741,0,459
Jay Carty,LAL,PF,0.382,0.727,0,76
Don Chaney,BOS,SG,0.407846,0.767769,0.0128462,497
Dick Cunningham,MIL,C,0.357714,0.465286,0,144
Fred Foster,CIN,SF,0.4022,0.6796,0,446
Pat Frink,CIN,SG,0.34,0.793,0,123
Gary Gregor,PHO,PF,0.4124,0.712,0,581
Al Hairston,SEA,SG,0.354,0.7855,0,45
Shaler Halimon,PHI,SF,0.289667,0.384833,0,307
Skip Harlicka,ATL,PG,0.456,0.774,0,106
Art Harris,SEA,SG,0.384667,0.5705,0,471
Elvin Hayes*,SDR,C,0.452437,0.669437,0.0456875,1707
Bill Hewitt,LAL,PF,0.412875,0.56325,0,292
Bill Hosket,NYK,PF,0.4875,0.7035,0,143
Rich Johnson,BOS,C,0.548333,0.378333,0,152
Bob Kauffman,SEA,C,0.462857,0.735286,0,864
Joe Kennedy,SEA,SF,0.2415,0.895,0,227
Rod Knowles,PHO,F-C,0.286,0.333,0,9
Stu Lantz,SDR,SG,0.4202,0.8282,0,743
Don May,NYK,SF,0.440889,0.811889,0,421
Otto Moore,DET,C,0.443077,0.603846,0,475
Dave Newmark,CHI,C,0.409,0.6925,0,384
Rich Niemann,TOT,C,0.412,0.82325,0,55
Barry Orms,BAL,PG,0.309,0.483,0,181
Charlie Paulk,MIL,PF,0.2964,0.6654,0,160
Loy Petersen,CHI,SG,0.3855,0.6855,0,99
Bob Quick,BAL,SF,0.456,0.7015,0,166
Craig Raymond,PHI,C,0.344,0.647,0,55
Mike Riordan,NYK,SF,0.436182,0.659273,0,625
Dale Schlueter,SFW,C,0.4727,0.6464,0,313
Doug Sims,CIN,F,0.4,0,0,4
Greg Smith,MIL,PF,0.479353,0.492118,0,350
John Trapp,SDR,SF,0.388714,0.711429,0,356
Wes Unseld*,BAL,C,0.508769,0.634231,0.0769231,817
Dwight Waller,ATL,F,0.222,0.429,0,7
Cliff Williams,DET,G,0.222,0,0,4
Ron Williams,SFW,PG,0.43275,0.83125,0,599
Sam Williams,MIL,SG,0.455875,0.627375,0,297
Kareem Abdul-Jabbar*,MIL,C,0.55835,0.7277,0.01665,1919
Lucius Allen,SEA,PG,0.4515,0.750083,0,888
Wally Anderzunas,CIN,SF,0.392,0.63,0,159
John Arthurs,MIL,G,0.343,0.733,0,35
Johnny Baum,CHI,SF,0.3465,0.345,0,146
Butch Beard,ATL,PG,0.469455,0.691091,0,565
Fred Carter,BAL,SG,0.4045,0.647,0,902
Bob Dandridge,MIL,SF,0.472154,0.763846,0.014,1194
Mike Davis,BAL,SG,0.4206,0.7646,0,440
Dick Garrett,LAL,SG,0.388,0.835857,0,510
Herm Gilliam,CIN,SG,0.437875,0.79025,0,781
Bob Greacen,MIL,SF,0.2435,0.536,0,55
Lamar Green,PHO,PF,0.418667,0.614333,0,310
Connie Hawkins*,PHO,SF,0.469667,0.755333,0,1025
Brian Heaney,BAL,G,0.542,0.5,0,28
Steve Kuberski,BOS,PF,0.405273,0.735909,0,314
Mike Lynn,LAL,SF,0.3085,0.823,0,63
Willie McCarter,LAL,SG,0.398667,0.662333,0,363
Steve Mix,DET,SF,0.478333,0.792933,0.0766667,580
Grady O'Malley,ATL,F,0.35,0.421,0,50
Bud Ogden,PHI,SF,0.4205,0.692,0,128
Bob Portman,SFW,SG,0.44075,0.7885,0,313
Luther Rackley,CIN,C,0.371,0.485857,0,227
George Reynolds,DET,G,0.421,0.714,0,21
Rick Roberson,LAL,C,0.434857,0.568,0,546
Dave Scholz,PHI,F,1,0,0,2
Bingo Smith,SDR,SF,0.446692,0.808615,0.0594615,905
Norm Van,CIN,PG,0.40725,0.7865,0,806
Neal Walk,PHO,C,0.4499,0.788,0,763
John Warren,NYK,SG,0.4374,0.8322,0,362
Jo Jo,BOS,PG,0.433059,0.753765,0.0522353,913
Bernie Williams,SDR,SG,0.3615,0.8135,0,445
Lee Winfield,SEA,PG,0.462143,0.665,0,422
Don Adams,SDR,SF,0.375545,0.723273,0,522
Tiny Archibald*,CIN,PG,0.464692,0.789462,0.079,1267
Bob Arnzen,CIN,SF,0.462,0.865,0,301
Dennis Awtrey,PHI,C,0.444,0.631563,0,251
Moe Barr,CIN,G,0.403,0.846,0,61
Tom Black,TOT,C,0.373,0.582333,0,199
Bob Christian,ATL,C,0.483,0.70175,0,235
Jimmy Collins,CHI,SG,0.398,0.8435,0,140
Joe Cooke,CLE,SG,0.393,0.814,0,316
Dave Cowens*,BOS,C,0.458364,0.788455,0.00754545,1228
Pete Cross,SEA,C,0.2792,0.4628,0,215
Terry Driscoll,DET,PF,0.337,0.561857,0,191
Claude English,POR,F,0.262,0.714,0,27
Greg Fillmore,NYK,C,0.35,0.407,0,59
Levi Fontaine,SFW,SG,0.366,0.757,0,134
Jake Ford,SEA,G,0.43,0.7575,0,63
Gary Freeman,TOT,SF,0.535333,0.654,0,111
Walt Gilmore,POR,PF,0.426,0.462,0,58
Spencer Haywood*,SEA,PF,0.466071,0.787714,0.0178571,1143
Gar Heard,SEA,PF,0.416267,0.683867,0,572
Al Henry,PHI,C,0.3015,0.7065,0,97
A.W. Holt,CHI,SF,0.125,0.667,0,4
Greg Howard,PHO,PF,0.3875,0.7015,0,156
John Hummer,BUF,C,0.446875,0.468,0,324
Greg Hyder,CIN,SF,0.447,0.718,0,417
George Johnson,BAL,C,0.455769,0.706885,0.0669231,355
John Johnson,CLE,SF,0.43675,0.769125,0,798
Earnie Killum,LAL,G,0,1,0,1
Ron Knight,POR,PF,0.433,0.5,0,236
Sam Lacey,CIN,C,0.451067,0.692733,0.0281333,697
Bob Lanier*,DET,C,0.519875,0.7635,0.135437,1278
Pete Maravich*,ATL,SG,0.442833,0.833417,0.171083,1378
Harvey Marlatt,DET,SG,0.405333,0.563333,0,75
Eddie Mast,NYK,PF,0.383667,0.597667,0,94
Jim McMillian,LAL,SF,0.477778,0.823111,0,970
Larry Mikan,CLE,SF,0.333,0.618,0,158
Rex Morgan,BOS,SG,0.361,0.695,0,86
Calvin Murphy*,SDR,PG,0.477923,0.897846,0.048,1380
Ralph Ogden,SFW,F,0.239,0.667,0,42
Curtis Perry,SDR,C,0.4291,0.6629,0,501
Geoff Petrie,POR,SG,0.453667,0.81,0,1622
Mike Price,NYK,SG,0.380667,0.777667,0,130
Bob Riley,ATL,F,0.444,0.556,0,13
Paul Ruffner,CHI,C,0.434667,0.438333,0,36
Mike Silliman,BUF,SF,0.456,0.487,0,91
Garfield Smith,BOS,C,0.393,0.2935,0,84
Dave Sorenson,CLE,PF,0.4032,0.699,0,409
Dennis Stewart,BAL,F,0.25,1,0,4
Bill Stricker,POR,F,0.667,0,0,4
Gary Suiter,CLE,C-F,0.352,0.444,0,42
Fred Taylor,PHO,SG,0.3125,0.495,0,118
Joe Thomas,PHO,SF,0.267,0.45,0,55
Rudy Tomjanovich,SDR,PF,0.489909,0.770364,0.0466364,1216
John Vallely,ATL,SG,0.4025,0.69,0,131
Cornell Warner,BUF,C,0.429727,0.694455,0,336
Bobby Washington,CLE,PG,0.3975,0.778,0,350
Jeff Webb,MIL,SG,0.37,0.69375,0,64
Herb White,ATL,PG,0.405,0.564,0,90
Milt Williams,NYK,PG,0.616667,0.680667,0,78
Willie Williams,TOT,F,0.275333,0.4,0,15
Marv Winkler,MIL,G,0.3,1,0,8
Gary Zeller,BAL,SG,0.329,0.5825,0,135
Bill Zopf,MIL,PG,0.363,0.556,0,118
Odis Allison,GSW,SF,0.218,0.541,0,67
Vic Bartolome,GSW,C,0.254,0.8,0,34
Fred Brown,SEA,SG,0.47,0.849231,0.140769,1078
Austin Carr,CLE,SG,0.422667,0.750083,0.02775,890
Sid Catlett,CIN,SF,0.222,0.222,0,6
Phil Chenier,BAL,SG,0.421583,0.788083,0.131917,854
Jim Cleamons,LAL,PG,0.451273,0.763182,0.0704545,539
Charlie Davis,CLE,SG,0.4138,0.7436,0,388
Jackie Dinkins,CHI,SF,0.415,0.55,0,45
Ken Durrett,CIN,SF,0.412333,0.646667,0,108
Dick Gibbs,HOU,SF,0.330143,0.672714,0,278
Clarence Glover,BOS,PF,0.455,0.469,0,65
Jeff Halliburton,ATL,SG,0.44,0.83825,0,244
Fred Hilton,BUF,SG,0.388,0.756,0,565
Jake Jones,TOT,SG,0.376333,0.654667,0,50
Mo Layton,PHO,PG,0.4672,0.7502,0,365
Stan Love,BAL,PF,0.43825,0.751,0,387
Charlie Lowery,MIL,PG,0.447,0.611,0,45
Jim Marsh,POR,SF,0.333,0.695,0,119
Jim McDaniels,SEA,C,0.4014,0.7406,0,193
Gil McGregor,CIN,PF,0.363,0.696,0,171
Kenny McIntosh,CHI,SF,0.368833,0.493833,0,200
Cliff Meely,HOU,PF,0.409857,0.673429,0,399
Dean Meminger,NYK,SG,0.464833,0.616333,0,425
John Mengelt,CIN,SG,0.436333,0.7215,0,582
Barry Nelson,MIL,C,0.417,0.5,0,35
Mike Newlin,HOU,SG,0.463091,0.862364,0.0848182,1137
Willie Norwood,DET,SF,0.467889,0.692,0,378
Steve Patterson,CLE,C,0.389286,0.616857,0,250
Tom Payne,ATL,C,0.437,0.63,0,119
Howard Porter,CHI,SF,0.452818,0.779455,0,493
Clifford Ray,CHI,C,0.5181,0.578,0,582
Jackie Ridgle,CLE,SG,0.432,0.731,0,57
Rich Rinaldi,BAL,SG,0.316,0.722333,0,131
Curtis Rowe,DET,PF,0.476125,0.70525,0,859
Charlie Scott,PHO,PG,0.439818,0.763727,0.0165455,1009
Elmore Smith,BUF,C,0.4858,0.5803,0,814
Randy Smith,BUF,SF,0.469714,0.797214,0.0609286,1208
William Smith,POR,C,0.508,0.6095,0,102
Larry Steele,POR,SG,0.477778,0.796556,0,556
George Trapp,ATL,PF,0.4515,0.748167,0,558
Sidney Wicks,POR,PF,0.4565,0.6606,0,1280
Nate Williams,CIN,SG,0.45875,0.81475,0,796
Isaiah Wilson,DET,SG,0.356,0.732,0,167
Dave Wohl,PHI,PG,0.420692,0.774077,0,290
Barry Yates,PHI,PF,0.373,0.636,0,69
Charlie Yelverton,POR,SG,0.389,0.707,0,545
Henry Bibby,NYK,PG,0.421273,0.771273,0.0499091,586
Freddie Boyd,PHI,PG,0.411,0.620375,0,370
Steve Bracey,ATL,PG,0.454667,0.680333,0,380
John Brisker,SEA,SF,0.436667,0.833,0,499
Roger Brown,LAL,C,0.27775,0.45075,0,33
Corky Calhoun,PHO,SF,0.4451,0.716,0,321
Bob Davis,POR,SF,0.214,0.667,0,16
Dwight Davis,CLE,PF,0.4256,0.7202,0,587
Mickey Davis,MIL,SF,0.4418,0.8512,0,295
Charles Dudley,SEA,PG,0.471,0.708,0,318
Scott English,PHO,SF,0.387,0.724,0,93
Chris Ford,DET,SG,0.451917,0.73725,0.0895,713
Harold Fox,BUF,PG,0.375,0.875,0,31
Rowland Garrett,CHI,SF,0.430444,0.770556,0,206
John Gianelli,NYK,C,0.4545,0.6936,0,481
Travis Grant,LAL,SF,0.345,0.609,0,64
Luther Green,PHI,PF,0,0.333,0,3
Charles Johnson,GSW,SG,0.424333,0.754111,0,529
Ollie Johnson,POR,SF,0.495917,0.840583,0.04925,486
Manny Leaks,PHI,C,0.3725,0.7095,0,557
Russ Lee,MIL,SF,0.390667,0.644,0,94
LaRue Martin,POR,C,0.411,0.6805,0,357
Bob McAdoo*,BUF,PF,0.4903,0.73205,0.00625,1115
Paul McCracken,HOU,SG,0.375667,0.400333,0,53
Eric McWilliams,HOU,PF,0.347,0.486,0,86
Mark Minor,BOS,SF,0.25,0.75,0,5
Bob Nash,DET,SF,0.3825,0.69725,0,259
Lloyd Neal,POR,C,0.467857,0.723143,0,692
Tom Patterson,BAL,PF,0.2145,0.6565,0,28
Kevin Porter,BAL,PG,0.477667,0.73925,0.0208333,739
Jim Price,LAL,PG,0.450571,0.816143,0,514
Mike Ratliff,KCO,C,0.2085,0.268,0,120
Tom Riker,NYK,C,0.408667,0.630667,0,75
Ron Riley,KCO,PF,0.412333,0.670167,0,288
Frank Russell,CHI,SG,0.377,0.889,0,74
Frank Schade,KCO,PG,0.286,1,0,10
Sam Sibert,KCO,PF,0.308,0.8,0,12
Bud Stallworth,SEA,SF,0.4182,0.667,0,480
Paul Stovall,PHO,SF,0.342,0.632,0,76
Chuck Terry,MIL,SF,0.358667,0.494,0,146
Justus Thigpen,DET,SG,0.3685,0,0,24
John Tschogl,ATL,SF,0.354333,0.559667,0,92
Paul Westphal,BOS,SG,0.48525,0.805583,0.110917,1067
Harthorne Wingo,NYK,PF,0.447,0.5965,0,255
Joby Wright,SEA,PF,0.478,0.416,0,303
Mike Bantom,PHO,PF,0.459667,0.703133,0.0888,728
Ron Behagen,KCO,PF,0.412231,0.657385,0,378
Dennis Bell,NYK,SF,0.252333,0.328333,0,58
Jim Brewer,CLE,PF,0.453909,0.479545,0.0151818,400
Allan Bristow,PHI,SF,0.453222,0.785444,0.132556,569
John Brown,ATL,SF,0.386778,0.813333,0,414
Larry Cannon,PHI,SG,0.386,0.679,0,117
Bill Chamberlain,PHO,SF,0.438,0.696,0,153
Ken Charles,BUF,SG,0.4418,0.7838,0,549
E.C. Coleman,HOU,PF,0.509833,0.742667,0,425
Doug Collins,PHI,SG,0.484125,0.831125,0,928
Mike D'Antoni,KCO,SG,0.34825,0.745,0,108
Mel Davis,NYK,PF,0.370833,0.718,0,234
Derrek Dickey,GSW,PF,0.456714,0.782,0,309
Ernie DiGregorio,BUF,PG,0.417714,0.873,0,457
Steve Downing,BOS,C,0.164,0.2895,0,32
Rod Freeman,PHI,SF,0.379,0.683,0,106
Bernie Fryer,POR,SG,0.4515,0.78,0,343
Jim Garvin,BUF,PF,0.25,0,0,2
Phil Hankinson,BOS,SF,0.515,0.3845,0,61
Nate Hawthorne,LAL,SG,0.416667,0.65,0,294
Tom Ingelsby,ATL,PG,0.382,0.784,0,129
Dwight Jones,ATL,PF,0.472214,0.724786,0.0714286,518
Ben Kelso,DET,SG,0.365,0.682,0,85
Tom Kozelko,CAP,PF,0.429333,0.737667,0,135
Kevin Kunnert,TOT,C,0.470636,0.659091,0,439
