Player,Tm,Pos,FG%,FT%,3P%,PTS
Dee Gibson,TRI,F-G,0.314,0.718,0,281
Hoot Gibson,TOT,F-C,0.476333,0.529667,0,117
Chuck Gilmur,WSC,F-C,0.307,0.6055,0,234
Normie Glick,MNL,F,1,0,0,2
Paul Gordon,BLB,F,0,0.6,0,3
Joe Graboski,CHS,F-C,0.348667,0.695,0,762
Bud Grant,MNL,F,0.3265,0.5195,0,124
Don Grate,SHE,F-G,0.167,1,0,4
Alex Groza,INO,C,0.474,0.7575,0,1462
Al Guokas,TOT,F-G,0.292667,0.697333,0,142
Robert Hahn,CHS,C,0.308,0.286,0,10
Chick Halbert,WSC,C,0.3725,0.667,0,414
Bruce Hale,INO,G-F,0.3245,0.6955,0,375
Dale Hamilton,WAT,G-F,0.242,0.474,0,25
Alex Hannum*,SYR,PF,0.353,0.6325,0,384
John Hargis,AND,G-F,0.38475,0.6545,0,222
Bob Harris,FTW,F-C,0.355286,0.653714,0,355
Bob Harrison,MNL,G,0.344727,0.680273,0,436
Billy Hassett,TOT,G,0.2785,0.64625,0,169
Marshall Hawkins,INO,F,0.282,0.689,0,152
Bill Henry,TOT,C,0.326333,0.669667,0,197
Bill Herman,DNN,G,0.385,0.545,0,56
Kleggie Hermsen,CHS,C-F,0.1846,0.608,0,220
Sonny Hertzberg,BOS,G,0.317,0.7875,0,664
Paul Hoffman,BLB,G-F,0.3316,0.6794,0,569
Joe Holland,INO,SF,0.333667,0.613,0,361
Red Holzman*,ROC,PG,0.3042,0.6998,0,324
Gene James,NYK,F,0.3255,0.54875,0,114
Howie Janotta,BLB,F,0.3,0.813,0,31
Tony Jaros,MNL,F-G,0.299,0.6905,0,240
Buddy Jeannette*,BLB,G,0.284,0.82,0,193
Arnie Johnson,ROC,SF,0.41675,0.73275,0,594
Ralph Johnson,TOT,PG,0.324,0.745,0,382
Wah Wah,INO,PF,0.359667,0.764333,0,476
Noble Jorgensen,SHE,C,0.368833,0.7275,0,487
George Kaftan,BOS,SF,0.363,0.6555,0,322
Leo Katkaveck,WSC,G,0.306,0.607,0,236
Jack Kerris,TOT,PF,0.35675,0.672125,0,351
Bob Kinney,BOS,C-F,0.375,0.628,0,667
